obj_id,type
ZTF17aaahrni,Cataclysmic
ZTF17aaaikab,Cataclysmic
ZTF17aaajnki,AGN
ZTF17aaaobyl,Cataclysmic
ZTF17aaaocpq,AGN
ZTF17aaaukqn,Cataclysmic
ZTF17aaavjfv,Cataclysmic
ZTF17aaawgbm,Cataclysmic
ZTF17aaawgkc,Cataclysmic
ZTF17aaazdba,Tidal Disruption Event
ZTF17aabtvsy,SN Ia
ZTF17aaburzk,Cataclysmic
ZTF17aacldgo,SN Ia
ZTF17aacpbmv,SN Ic
ZTF17aactzul,Cataclysmic
ZTF17aadcbei,Cataclysmic
ZTF17aadlxmv,SN Ia
ZTF18aaabltn,AGN
ZTF18aaadtdc,AGN
ZTF18aaaibml,SN IIP
ZTF18aaakpbx,Cataclysmic
ZTF18aaakpoh,AGN
ZTF18aaakpsa,AGN
ZTF18aaaniwu,AGN
ZTF18aaaokus,AGN
ZTF18aaaonon,SN Ia
ZTF18aaaorhy,AGN
ZTF18aaaphrw,Cataclysmic
ZTF18aaapjfq,Cataclysmic
ZTF18aaaqexr,SN Ia
ZTF18aabcgyb,SN Ia
ZTF18aabdajx,Tidal Disruption Event
ZTF18aabdgik,SN Ia
ZTF18aabfxpw,Cataclysmic
ZTF18aabicqe,AGN
ZTF18aabilqu,AGN
ZTF18aabiote,Cataclysmic
ZTF18aabiwhf,Cataclysmic
ZTF18aabkjfv,AGN
ZTF18aabkrky,SN Ia
ZTF18aabssth,SN IIP
ZTF18aabtxvd,Tidal Disruption Event
ZTF18aabvpbb,Cataclysmic
ZTF18aabxlsv,SN Ib
ZTF18aacdvmi,AGN
ZTF18aacdydz,AGN
ZTF18aaceepu,SN Ia
ZTF18aacemcn,SN IIP
ZTF18aacfonx,AGN
ZTF18aachojf,AGN
ZTF18aacnlxz,SN II
ZTF18aaddhpb,AGN
ZTF18aadkjmo,AGN
ZTF18aadlaxo,SN Ia
ZTF18aadmssd,SN IIn
ZTF18aadnqwz,AGN
ZTF18aadsuxd,SN II
ZTF18aadzfso,SN Ia
ZTF18aaeauzu,AGN
ZTF18aaegvyd,SN IIP
ZTF18aaeipng,SN IIb
ZTF18aaemivw,SN Ia
ZTF18aaenfaa,AGN
ZTF18aaeraoq,AGN
ZTF18aaermez,SN Ia
ZTF18aaezzww,SN Ia
ZTF18aafdigb,SN Ia
ZTF18aafeiiy,AGN
ZTF18aafjeeu,AGN
ZTF18aaflcyp,AGN
ZTF18aafpfwr,SN Ia
ZTF18aagpzjk,SN IIP
ZTF18aagqhrw,Cataclysmic
ZTF18aagrdcs,SN Ib
ZTF18aagrkwn,AGN
ZTF18aagrtxs,SN Ia
ZTF18aagstdc,SN Ia
ZTF18aagtcxj,SN Ia
ZTF18aagteoy,AGN
ZTF18aagtevs,AGN
ZTF18aagtwyh,SN Ia
ZTF18aahesrp,SN Ia
ZTF18aaheszr,AGN
ZTF18aahfbqp,SN Ia
ZTF18aahfeiy,SN Ia
ZTF18aahfjdt,AGN
ZTF18aahfohe,AGN
ZTF18aahfqbc,SN IIP
ZTF18aahfxnn,SN Ia
ZTF18aahfzea,SN Ia
ZTF18aahheaj,SN Ia
ZTF18aahhqih,SN IIP
ZTF18aahhzqn,SN Ib
ZTF18aahijwe,AGN
ZTF18aahjafd,SN Ia
ZTF18aahjbii,AGN
ZTF18aahjdnz,AGN
ZTF18aahjjuh,AGN
ZTF18aahmkac,AGN
ZTF18aahpbal,AGN
ZTF18aahpbwz,SN Ib
ZTF18aahptcq,SN Ia
ZTF18aahqkbt,Tidal Disruption Event
ZTF18aahqmsr,SN Ia
ZTF18aahqrur,AGN
ZTF18aahrzkb,SN II
ZTF18aahshhp,SN Ia
ZTF18aahtjsc,SN Ia
ZTF18aahtkze,AGN
ZTF18aahuujv,SN Ic
ZTF18aahvcby,AGN
ZTF18aahvkwq,SN Ia
ZTF18aahvndq,SN Ia
ZTF18aahwhbk,SN Ia
ZTF18aahwquy,AGN
ZTF18aahxamc,AGN
ZTF18aaiiigm,SN Ia
ZTF18aailmnv,SN Ia
ZTF18aailsee,AGN
ZTF18aairuad,SN Ia
ZTF18aaisqmw,SN Ia
ZTF18aaisuxz,SN Ia
ZTF18aaisybp,SN Ic
ZTF18aaivnak,SN Ia
ZTF18aaiwewk,SN Ia
ZTF18aaiwsqa,AGN
ZTF18aaiwzie,SN Ia
ZTF18aaixulp,Cataclysmic
ZTF18aaiykoz,SN Ia
ZTF18aaizerg,SN Ia
ZTF18aajarpg,AGN
ZTF18aajivpr,SN Ia
ZTF18aajjhkq,SN Ia
ZTF18aajkcdn,SN Ia
ZTF18aajkrxi,SN Ia
ZTF18aajnqmp,AGN
ZTF18aajpjdi,SN Ia
ZTF18aajrwju,AGN
ZTF18aajswer,AGN
ZTF18aajtlbf,SN Ia
ZTF18aajupnt,AGN
ZTF18aakaaza,AGN
ZTF18aakctzv,SN IIP
ZTF18aakecej,SN Ia
ZTF18aakehpc,AGN
ZTF18aakfabl,SN IIP
ZTF18aakgzwi,AGN
ZTF18aakiwbs,SN Ia
ZTF18aakkrjm,SN Ib
ZTF18aakkvea,AGN
ZTF18aaklpdo,SN Ia
ZTF18aakpnyt,AGN
ZTF18aakqtwt,AGN
ZTF18aakrnvd,SN IIn
ZTF18aakvxqj,Cataclysmic
ZTF18aakzliv,SN Ia
ZTF18aalataf,Cataclysmic
ZTF18aalcxig,SN Ia
ZTF18aalsiji,AGN
ZTF18aamfrvy,SN IIP
ZTF18aamfsxv,AGN
ZTF18aamftst,SN IIn
ZTF18aamgcbt,AGN
ZTF18aamigmk,SN Ia
ZTF18aammlba,Cataclysmic
ZTF18aamsgjq,SN Ia
ZTF18aamvfeb,SN Ia
ZTF18aamxads,SN Ia
ZTF18aamxzjx,AGN
ZTF18aamyexb,AGN
ZTF18aangpkx,SN Ia
ZTF18aanjzkp,SN Ib
ZTF18aankxqv,SN Ia
ZTF18aanlyba,SN Ia
ZTF18aanlzzf,AGN
ZTF18aannern,SN Ia
ZTF18aansqom,SN Ia
ZTF18aansqov,SN Ia
ZTF18aansqun,SN Ia
ZTF18aanxlcr,SN Ia
ZTF18aanygjk,SN Ia
ZTF18aaoecso,AGN
ZTF18aaojsvk,AGN
ZTF18aaotzhu,SN Ia
ZTF18aaoufjt,SN Ia
ZTF18aaovbiy,SN Ia
ZTF18aaoxrup,SN Ia
ZTF18aapgbfm,AGN
ZTF18aaphzut,SN Ia
ZTF18aapifti,SN IIP
ZTF18aapzqup,AGN
ZTF18aaqcqvr,SN Ia
ZTF18aaqcugm,SN Ia
ZTF18aaqduja,AGN
ZTF18aaqedfj,SN Ia
ZTF18aaqehoc,SN Ia
ZTF18aaqfqaa,SN IIP
ZTF18aaqfziz,SN Ia
ZTF18aaqgadq,SN Ia
ZTF18aaqgbju,SN Ia
ZTF18aaqikyu,Cataclysmic
ZTF18aaqjcvv,Cataclysmic
ZTF18aaqjhqz,SN Ia
ZTF18aaqjqqc,SN Ia
ZTF18aaqkcso,SN Ia
ZTF18aaqkdwu,SN IIP
ZTF18aaqkjuw,SN Ia
ZTF18aaqkoyr,SN IIP
ZTF18aaqkqxi,SN Ia
ZTF18aaqlblz,AGN
ZTF18aaqldvl,SN Ia
ZTF18aaqnxjb,SN Ia
ZTF18aaqpeoq,SN Ia
ZTF18aaqpjja,SN Ia
ZTF18aaqpkvx,SN Ia
ZTF18aaqpowv,SN II
ZTF18aaqqhis,SN Ia
ZTF18aaqskoy,SN Ia
ZTF18aaquvvq,SN IIb
ZTF18aaqvuhl,SN Ia
ZTF18aaqxbvf,AGN
ZTF18aaqznkg,Cataclysmic
